,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12838,27988,561802,1,Girls,Friends,2018,Andrea's fashion design studio,,,True,FR561802-1
12839,28021,561803,1,Girls,Friends,2018,Ping-Pong table,,,True,FR561803-1
12840,28132,561804,1,Girls,Friends,2018,Bunnies' Playground,,,True,FR561804-1
12841,28115,561805,1,Girls,Friends,2018,Veterinary Cabinet,,,True,FR561805-1
12842,28142,561806,1,Girls,Friends,2018,Mia's Fruit Stall,,,True,FR561806-1
12843,28242,561807,1,Girls,Friends,2018,Beach Shop,,,True,FR561807-1
12844,28240,561808,1,Girls,Friends,2018,Dog Hairdresser Salon,,,True,FR561808-1
12845,28306,561809,1,Girls,Friends,2018,Andrea's Stage,,,True,FR561809-1
12846,28360,561810,1,Girls,Friends,2018,Olivia's Observatory,1.0,,True,FR561810-1
12847,28526,561811,1,Girls,Friends,2018,Winter World,,,True,FR561811-1
12848,29013,561901,1,Girls,Friends,2019,Emma's Kitty Chico,,,True,FR561901-1
12849,29149,561902,1,Girls,Friends,2019,Shop with Costumes,,30.0,True,FR561902-1
12850,29215,561903,1,Girls,Friends,2019,Sweet Baby,1.0,,True,561903-1
12851,29230,561904,1,Girls,Friends,2019,Bear's Cave,,,True,561904-1
12852,29332,561905,1,Girls,Friends,2019,Andrea's Booth with Waffles,,,True,561905-1
12853,29373,561906,1,Girls,Friends,2019,Robot on paddleboard,1.0,,True,561906-1
12854,29594,561907,1,Girls,Friends,2019,Ice Cream Parlour,,,True,561907-1
12855,29580,561908,1,Girls,Friends,2019,Andrea's Stage,,,True,561908-1
12856,29599,561909,1,Girls,Friends,2019,Stephanie's Puppy Dash,,20.0,True,561909-1
12857,29670,561910,1,Girls,Friends,2019,Halloween Store,,,True,561910-1
12858,29677,561911,1,Girls,Friends,2019,Olivia's Bakery,,,True,561911-1
12859,29871,562001,1,Girls,Friends,2020,Cake,,,True,562001-1
12860,29991,562002,1,Girls,Friends,2020,Hot Dog Stand,,,True,562002-1
12861,26322,601601,1,Constraction,Bionicle,2016,Scorpion,,,True,BIO601601-1
12862,26685,601602,1,Constraction,Bionicle,2016,Ekimu Falcon,,,True,601602-1
12863,27533,624210,1,Miscellaneous,Promotional,2017,LEGO House 6 Bricks,,6.0,True,624210-1
12864,29607,791901,1,Action/Adventure,Hidden Side,2019,Jack,1.0,,True,791901-1
12865,29666,791902,1,Action/Adventure,Hidden Side,2019,Possessed Pizza Delivery Man,1.0,,True,791902-1
12866,29848,791903,1,Action/Adventure,Hidden Side,2019,Parker,1.0,,True,791903-1
