,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
4098,4646,4659,1,Pre-school,Duplo,2005,Garbage Truck,1.0,12.0,True,4659-1
4099,4647,4661,1,Pre-school,Duplo,2005,Construction Worker,1.0,4.0,True,4661-1
4100,4648,4662,1,Pre-school,Duplo,2005,Post Office,1.0,21.0,True,4662-1
4101,4712,4663,1,Pre-school,Duplo,2005,Zoo,2.0,48.0,True,4663-1
4102,4649,4664,1,Pre-school,Duplo,2005,Fire Station,3.0,56.0,True,4664-1
4103,4650,4665,1,Pre-school,Duplo,2005,Big Farm,3.0,70.0,True,4665-1
4104,2271,4666,1,Junior,4 Juniors,2004,Speedy Police Car,1.0,24.0,True,4666-1
4105,2272,4667,1,Junior,4 Juniors,2004,Loadin' Digger,1.0,29.0,True,4667-1
4106,2273,4668,1,Junior,4 Juniors,2004,Outrigger Construction Crane,2.0,61.0,True,4668-1
4107,2274,4669,1,Junior,4 Juniors,2004,Turbo-Charged Police Boat,2.0,52.0,True,4669-1
4108,2275,4676,1,Miscellaneous,Gear,2004,Police Key Chain,,,True,4676-1
4109,2276,4677,1,Miscellaneous,Gear,2004,Name Letter Pack,,,True,4677-1
4110,2277,4678,1,Miscellaneous,Gear,2004,Picture Holder,1.0,,True,4678-1
4111,5093,4679,1,Basic,Make and Create,2005,LEGO Strata Blue,,1500.0,True,4679-1
4112,2278,4679,2,Model making,Creator,2004,Bricks and Creations,,1531.0,False,
4113,2279,4680,1,Pre-school,Duplo,2004,Traffic Patrol,1.0,3.0,True,4680-1
4114,2280,4681,1,Pre-school,Duplo,2004,Fire Truck,2.0,18.0,True,4681-1
4115,2281,4683,1,Pre-school,Duplo,2004,Pony and Cart,1.0,5.0,True,4683-1
4116,2282,4684,1,Pre-school,Duplo,2004,Pick-Up Truck,1.0,4.0,True,4684-1
4117,2283,4685,1,Pre-school,Duplo,2004,Fork Lift,1.0,10.0,True,4685-1
4118,2284,4686,1,Pre-school,Duplo,2004,Little Farm,2.0,50.0,True,4686-1
4119,2285,4687,1,Pre-school,Duplo,2004,Tractor-Trailer,1.0,8.0,True,4687-1
4120,2286,4688,1,Pre-school,Duplo,2004,Team Construction,2.0,22.0,True,4688-1
4121,2287,4689,1,Pre-school,Duplo,2004,Playhouse,4.0,60.0,True,4689-1
4122,2288,4690,1,Pre-school,Duplo,2004,Horse Stable,2.0,29.0,True,4690-1
4123,2289,4691,1,Pre-school,Duplo,2004,Police Station,3.0,61.0,True,4691-1
4124,2290,4692,1,Pre-school,Duplo,2004,Fire Car,1.0,2.0,True,4692-1
4125,2291,4693,1,Pre-school,Duplo,2004,Ferrari F1 Race Car,1.0,5.0,True,4693-1
4126,2292,4694,1,Pre-school,Duplo,2004,Ferrari F1 Racing Team,2.0,37.0,True,4694-1
4127,2293,4695,1,Licensed,Harry Potter,2004,Mini Harry Potter Knight Bus,,58.0,True,4695-1
4128,4972,4696,1,Model making,Creator,2004,Blue Bucket,,400.0,False,
4129,2294,4701,1,Licensed,Harry Potter,2001,Sorting Hat,1.0,48.0,True,4701-1
4130,2295,4702,1,Licensed,Harry Potter,2001,The Final Challenge,2.0,60.0,True,4702-1
4131,2296,4704,1,Licensed,Harry Potter,2001,The Room of the Winged Keys,3.0,175.0,True,4704-1
4132,2297,4705,1,Licensed,Harry Potter,2001,Snape's Class,3.0,163.0,True,4705-1
4133,2298,4706,1,Licensed,Harry Potter,2001,Forbidden Corridor,3.0,238.0,True,4706-1
4134,2299,4707,1,Licensed,Harry Potter,2001,Hagrid's Hut,2.0,299.0,True,4707-1
4135,2300,4708,1,Licensed,Harry Potter,2001,Hogwarts Express,3.0,410.0,True,4708-1
4136,2301,4709,1,Licensed,Harry Potter,2001,Hogwarts Castle,9.0,682.0,True,4709-1
4137,2302,4711,1,Licensed,Harry Potter,2002,Flying Lesson,2.0,23.0,True,4711-1
4138,2303,4712,1,Licensed,Harry Potter,2002,Troll on the Loose,2.0,71.0,True,4712-1
4139,2304,4714,1,Licensed,Harry Potter,2002,Gringott's bank,4.0,250.0,True,4714-1
4140,2305,4719,1,Licensed,Harry Potter,2003,Quality Quidditch Supplies,1.0,120.0,True,4719-1
4141,2306,4720,1,Licensed,Harry Potter,2003,Knockturn Alley,2.0,209.0,True,4720-1
4142,2307,4721,1,Licensed,Harry Potter,2001,Hogwarts Classrooms,1.0,73.0,True,4721-1
4143,2308,4722,1,Licensed,Harry Potter,2001,Gryffindor House,1.0,68.0,True,4722-1
4144,2309,4723,1,Licensed,Harry Potter,2001,Diagon Alley Shops,1.0,80.0,True,4723-1
4145,2310,4726,1,Licensed,Harry Potter,2002,Quidditch Practice,3.0,128.0,True,4726-1
4146,2311,4727,1,Licensed,Harry Potter,2002,Aragog in the Dark Forest,2.0,178.0,True,4727-1
4147,2312,4728,1,Licensed,Harry Potter,2002,Escape from Privet Drive,3.0,278.0,True,4728-1
4148,2313,4729,1,Licensed,Harry Potter,2002,Dumbledore's Office,3.0,446.0,True,4729-1
4149,2314,4730,1,Licensed,Harry Potter,2002,The Chamber of Secrets,5.0,591.0,True,4730-1
4150,2315,4731,1,Licensed,Harry Potter,2002,Dobby's Release,2.0,70.0,True,4731-1
4151,2316,4733,1,Licensed,Harry Potter,2002,The Dueling Club,4.0,129.0,True,4733-1
4152,2317,4735,1,Licensed,Harry Potter,2002,Slytherin,3.0,90.0,True,4735-1
4153,7686,4736,1,Licensed,Harry Potter,2010,Freeing Dobby,3.0,73.0,True,4736-1
4154,7687,4737,1,Licensed,Harry Potter,2010,Quidditch Match,5.0,153.0,True,4737-1
4155,7688,4738,1,Licensed,Harry Potter,2010,Hagrid's Hut,4.0,442.0,True,4738-1
4156,4976,4741,1,Action/Adventure,Space,1992,Blacktron II Space Value Pack,,209.0,True,4741-1
4157,2318,4742,1,Action/Adventure,Alpha Team,2004,Chill Speeder,1.0,58.0,True,4742-1
4158,2319,4743,1,Action/Adventure,Alpha Team,2004,Ice Blade,1.0,108.0,True,4743-1
4159,2320,4744,1,Action/Adventure,Alpha Team,2004,Tundra Tracker,2.0,141.0,True,4744-1
4160,2321,4745,1,Action/Adventure,Alpha Team,2004,Blue Eagle vs. Snow Crawler,2.0,258.0,True,4745-1
4161,2322,4746,1,Action/Adventure,Alpha Team,2004,Mobile Command Center,5.0,426.0,True,4746-1
4162,2323,4748,1,Action/Adventure,Alpha Team,2004,Ogel's Mountain Fortress,5.0,436.0,True,4748-1
4163,2324,4750,1,Licensed,Harry Potter,2004,Draco's Encounter with Buckbeak,1.0,36.0,True,4750-1
4164,2325,4751,1,Licensed,Harry Potter,2004,Harry and the Marauder's Map,3.0,109.0,True,4751-1
4165,2326,4752,1,Licensed,Harry Potter,2004,Professor Lupin's Classroom,3.0,156.0,True,4752-1
4166,2327,4753,1,Licensed,Harry Potter,2004,Sirius Black's Escape,3.0,188.0,True,4753-1
4167,2328,4754,1,Licensed,Harry Potter,2004,Hagrid's Hut,2.0,302.0,True,4754-1
4168,2329,4755,1,Licensed,Harry Potter,2004,Knight Bus,2.0,243.0,True,4755-1
4169,2330,4756,1,Licensed,Harry Potter,2004,Shrieking Shack,4.0,444.0,True,4756-1
4170,2331,4757,1,Licensed,Harry Potter,2004,Hogwarts Castle,9.0,944.0,True,4757-1
4171,2332,4758,1,Licensed,Harry Potter,2004,Hogwarts Express,4.0,389.0,True,4758-1
4172,2333,4759,1,Miscellaneous,Seasonal,2004,3 Christmas Decorations,,127.0,True,4759-1
4173,4746,4762,1,Licensed,Harry Potter,2005,Rescue from the Merpeople,5.0,175.0,True,4762-1
4174,4787,4766,1,Licensed,Harry Potter,2005,Graveyard Duel,8.0,548.0,True,4766-1
4175,4747,4767,1,Licensed,Harry Potter,2005,Harry and the Hungarian Horntail,3.0,265.0,True,4767-1
4176,4748,4768,1,Licensed,Harry Potter,2005,The Durmstrang Ship,2.0,550.0,True,4768-1
4177,9143,4768,2,Licensed,Harry Potter,2005,The Durmstrang Ship with Bonus Minifigures,6.0,566.0,True,4768-2
4178,4643,4770,1,Action/Adventure,Alpha Team,2005,Blizzard Blaster,2.0,303.0,True,4770-1
4179,4642,4774,1,Action/Adventure,Alpha Team,2005,Scorpion Orb Launcher,2.0,227.0,True,4774-1
4180,2334,4775,1,Pre-school,Duplo,2004,Knight and Squire,2.0,19.0,True,4775-1
4181,2335,4776,1,Pre-school,Duplo,2004,Dragon Tower,2.0,63.0,True,4776-1
4182,2336,4777,1,Pre-school,Duplo,2004,Knights' Castle,4.0,164.0,True,4777-1
4183,4800,4778,1,Modern day,City,2005,Airline Promotional Set,1.0,108.0,True,4778-1
4184,2337,4779,1,Pre-school,Duplo,2005,Defence Tower,2.0,64.0,True,4779-1
4185,4768,4780,1,Model making,Creator,2005,Bulk Set - 500 bricks,,500.0,True,4780-1
4186,4769,4781,1,Model making,Creator,2005,Bulk Set - 300 bricks,,300.0,True,4781-1
4187,4770,4782,1,Model making,Creator,2005,Bulk Set - 200 bricks,,200.0,True,4782-1
4188,5021,4783,1,Pre-school,Duplo,2005,DUPLO Basic Bricks,,30.0,True,4783-1
4189,4756,4784,1,Pre-school,Duplo,2005,Castle Black Dragon,1.0,8.0,True,4784-1
4190,4941,4785,1,Pre-school,Duplo,2005,Black Castle,6.0,380.0,True,4785-1
4191,2338,4788,1,Action/Adventure,Alpha Team,2002,Ogel Mutant Ray,2.0,68.0,True,4788-1
4192,2339,4789,1,Action/Adventure,Alpha Team,2002,Alpha Team Aquatic Mech,1.0,162.0,True,4789-1
4193,2340,4790,1,Action/Adventure,Alpha Team,2002,Alpha Team Robot Diver,1.0,32.0,True,4790-1
4194,2341,4791,1,Action/Adventure,Alpha Team,2002,Alpha Team Sub-Surface Scooter,1.0,42.0,True,4791-1
4195,2342,4792,1,Action/Adventure,Alpha Team,2002,Alpha Team Navigator and ROV,1.0,111.0,True,4792-1
4196,2343,4793,1,Action/Adventure,Alpha Team,2002,Ogel Shark Sub,3.0,115.0,True,4793-1
4197,2344,4794,1,Action/Adventure,Alpha Team,2002,Alpha Team Command Sub,2.0,189.0,True,4794-1
4198,2345,4795,1,Action/Adventure,Alpha Team,2002,Ogel Underwater Base and AT Sub,4.0,468.0,True,4795-1
4199,2346,4796,1,Action/Adventure,Alpha Team,2002,Ogel Mutant Squid,1.0,62.0,True,4796-1
4200,2347,4797,1,Action/Adventure,Alpha Team,2002,Ogel Mutant Killer Whale,1.0,57.0,True,4797-1
4201,2348,4798,1,Action/Adventure,Alpha Team,2002,Evil Ogel Attack,1.0,21.0,True,4798-1
4202,2349,4799,1,Action/Adventure,Alpha Team,2002,Ogel Drone Octopus,1.0,18.0,True,4799-1
4203,2350,4800,1,Action/Adventure,Alpha Team,2002,AT Jet Sub,1.0,23.0,True,4800-1
4204,2351,4801,1,Historical,Castle,2000,Defence Archer,1.0,15.0,True,4801-1
4205,2352,4805,1,Historical,Castle,1999,Ninja Knights,5.0,31.0,True,4805-1
4206,2353,4806,1,Historical,Castle,2000,Axe Cart,1.0,28.0,True,4806-1
4207,2354,4807,1,Historical,Castle,2000,Fire Attack,1.0,24.0,True,4807-1
4208,4971,4810,1,Model making,Creator,2001,Blue Bucket,1.0,254.0,True,4810-1
4209,2355,4811,1,Historical,Castle,2000,Defense Archer,1.0,15.0,True,4811-1
4210,2356,4816,1,Historical,Castle,2000,Knights' Catapult,2.0,50.0,True,4816-1
4211,2357,4817,1,Historical,Castle,2000,Dungeon,2.0,38.0,True,4817-1
4212,2358,4818,1,Historical,Castle,2000,Dragon Rider,1.0,11.0,True,4818-1
4213,2359,4819,1,Historical,Castle,2000,Bulls' Attack Wagon,2.0,49.0,True,4819-1
4214,4771,4820,1,Pre-school,Duplo,2005,Princess' Palace,3.0,78.0,True,4820-1
4215,4772,4821,1,Pre-school,Duplo,2005,Princess' Horse and Carriage,2.0,15.0,True,4821-1
4216,4773,4822,1,Pre-school,Duplo,2005,Princess' Bedroom,1.0,12.0,True,4822-1
4217,2360,4824,1,Pre-school,Duplo,2000,"Duplo Bucket, Medium",1.0,49.0,False,
4218,5702,4825,1,Pre-school,Duplo,2007,Princess and Horse,1.0,8.0,True,4825-1
4219,5703,4826,1,Pre-school,Duplo,2007,Princess and Pony Picnic,1.0,19.0,True,4826-1
4220,22446,4827,1,Pre-school,Duplo,2001,Medium Bucket,1.0,44.0,False,
4221,5704,4828,1,Pre-school,Duplo,2007,Princess Royal Stables,2.0,49.0,True,4828-1
4222,2362,4830,1,Pre-school,Duplo,2001,Medium Bucket,1.0,51.0,False,
4223,22447,4836,1,Pre-school,Duplo,2001,Medium Bucket,1.0,50.0,False,
4224,6295,4837,1,Model making,Creator,2008,Mini Trains,,73.0,True,4837-1
4225,6294,4838,1,Model making,Creator,2008,Mini Vehicles,,79.0,True,4838-1
4226,2363,4839,1,Pre-school,Duplo,2000,Duplo Bucket,,69.0,True,4839-1
4227,7689,4840,1,Licensed,Harry Potter,2010,The Burrow,6.0,568.0,True,4840-1
4228,7690,4841,1,Licensed,Harry Potter,2010,Hogwarts Express,5.0,646.0,True,4841-1
4229,7691,4842,1,Licensed,Harry Potter,2010,Hogwarts Castle,11.0,1290.0,True,4842-1
4230,2364,4850,1,Licensed,Spider-Man,2003,Spider-Man's first chase,3.0,191.0,True,4850-1
4231,2365,4851,1,Licensed,Spider-Man,2003,Spider-Man and Green Goblin - The Origins,6.0,218.0,True,4851-1
4232,2366,4852,1,Licensed,Spider-Man,2003,Spider-Man vs. Green Goblin -- The final showdown,4.0,360.0,True,4852-1
4233,2367,4853,1,Licensed,Spider-Man,2004,Spider-Man's Street Chase,3.0,73.0,True,4853-1
4234,2368,4854,1,Licensed,Spider-Man,2004,Doc Ock's Bank Robbery,5.0,174.0,True,4854-1
4235,2369,4855,1,Licensed,Spider-Man,2004,Spider-Man's Train Rescue,4.0,299.0,True,4855-1
4236,2370,4856,1,Licensed,Spider-Man,2004,Doc Ock's Hideout,5.0,486.0,True,4856-1
4237,2371,4857,1,Licensed,Spider-Man,2004,Doc Ock's Fusion Lab,4.0,237.0,True,4857-1
4238,2372,4858,1,Junior,4 Juniors,2004,Doc Ock's Crime Spree,3.0,55.0,True,4858-1
4239,2373,4860,1,Junior,4 Juniors,2004,Doc Ock's Cafe Attack,3.0,130.0,True,4860-1
4240,6101,4861,1,Pre-school,Duplo,2007,Police Boat,3.0,27.0,True,4861-1
4241,6589,4862,1,Pre-school,Duplo,2008,Ambush,2.0,15.0,True,4862-1
4242,6591,4863,1,Pre-school,Duplo,2008,Sentry & Catapult,2.0,41.0,True,4863-1
4243,6590,4864,1,Pre-school,Duplo,2008,Castle,3.0,115.0,True,4864-1
4244,8548,4865,1,Licensed,Harry Potter,2011,The Forbidden Forest,4.0,64.0,True,4865-1
4245,8549,4866,1,Licensed,Harry Potter,2011,The Knight Bus,3.0,257.0,True,4866-1
4246,8550,4867,1,Licensed,Harry Potter,2011,Hogwarts,7.0,466.0,True,4867-1
4247,4629,4868,1,Constraction,Bionicle,2005,Rahaga Gaaki,,28.0,True,4868-1
4248,4630,4869,1,Constraction,Bionicle,2005,Rahaga Pouks,,28.0,True,4869-1
4249,4631,4870,1,Constraction,Bionicle,2005,Rahaga Kualus,,28.0,True,4870-1
4250,4724,4874,1,Girls,Clikits,2005,Cool Friends Notes,,11.0,True,4874-1
4251,4725,4875,1,Girls,Clikits,2005,Groovy Friends Gems,,13.0,True,4875-1
4252,4726,4876,1,Girls,Clikits,2005,Fun Friends Hair Bands,,22.0,True,4876-1
4253,4632,4877,1,Constraction,Bionicle,2005,Rahaga Norik,,28.0,True,4877-1
4254,4633,4878,1,Constraction,Bionicle,2005,Rahaga Bomonga,,28.0,True,4878-1
4255,4634,4879,1,Constraction,Bionicle,2005,Rahaga Iruini,,28.0,True,4879-1
4256,2375,4881,1,Model making,Creator,2005,Robo Platoon,,218.0,True,4881-1
4257,2376,4882,1,Model making,Creator,2005,Speed Wings,,161.0,True,4882-1
4258,2377,4883,1,Model making,Creator,2005,Gear Grinders,,273.0,True,4883-1
4259,4719,4884,1,Model making,Creator,2005,Wild Hunters,,630.0,True,4884-1
4260,2378,4886,1,Model making,Creator,2004,Building Bonanza,,667.0,True,4886-1
4261,4720,4888,1,Model making,Creator,2005,Underwater Exploration,,623.0,True,4888-1
4262,5169,4891,1,Model making,Creator,2006,Highway Haulers,,209.0,True,4891-1
4263,5170,4892,1,Model making,Creator,2006,Prehistoric Power,,380.0,True,4892-1
4264,5311,4893,1,Model making,Creator,2006,Revvin' Riders,,360.0,True,4893-1
4265,5312,4894,1,Model making,Creator,2006,Mythical Creatures,,588.0,True,4894-1
4266,5313,4895,1,Model making,Creator,2006,Motion Power,,611.0,True,4895-1
4267,5314,4896,1,Model making,Creator,2006,Roaring Roadsters,,931.0,True,4896-1
4268,6592,4897,1,Modern day,City,2008,Police Trike,,24.0,True,4897-1
4269,6593,4898,1,Modern day,City,2008,Coast Guard Boat,1.0,35.0,True,4898-1
4270,7103,4899,1,Modern day,City,2009,Tractor,1.0,28.0,True,4899-1
4271,6594,4900,1,Modern day,City,2008,Fire Helicopter,1.0,34.0,True,4900-1
4272,6563,4903,1,Model making,Creator,2005,Lion,,42.0,True,4903-1
4273,5187,4904,1,Model making,Creator,2005,Elephant,,34.0,True,4904-1
4274,6561,4905,1,Model making,Creator,2005,Giraffe,,37.0,True,4905-1
4275,5068,4906,1,Model making,Creator,2005,Helicopter,,16.0,True,4906-1
4276,6562,4907,1,Model making,Creator,2005,Ambulance,,,False,
4277,5345,4908,1,Pre-school,Duplo,2004,DUPLO Basic Bricks,,100.0,False,
4278,2379,4910,1,Action/Adventure,Rock Raiders,1999,The Hover Scout,1.0,40.0,True,4910-1
4279,5188,4911,1,Model making,Creator,2005,Truck,,37.0,True,4911-1
4280,5189,4912,1,Modern day,City,2005,Police Jet Ski,1.0,22.0,True,4912-1
4281,5190,4914,1,Modern day,City,2005,Fire Chief's Car,,31.0,True,4914-1
4282,5560,4915,1,Model making,Creator,2007,Mini Construction,,68.0,True,4915-1
4283,5561,4916,1,Model making,Creator,2007,Mini Animals,,77.0,True,4916-1
4284,5565,4917,1,Model making,Creator,2007,Mini Robots,,77.0,True,4917-1
4285,5566,4918,1,Model making,Creator,2007,Mini Flyers,,76.0,True,4918-1
4286,5059,4919,1,Model making,Creator,2005,LEGO Deluxe,,1500.0,True,4919-1
4287,2380,4920,1,Action/Adventure,Rock Raiders,1999,Rapid Rider,1.0,39.0,True,4920-1
4288,2381,4924,1,Model making,Creator,2004,Advent Calendar,,335.0,True,4924-1
4289,2383,4930,1,Action/Adventure,Rock Raiders,1999,The Rock Raiders,5.0,46.0,True,4930-1
4290,6189,4933,1,Modern day,City,2007,Street Sweeper,,14.0,True,4933-1
4291,6190,4934,1,Modern day,City,2007,Police Swamp Boat,,20.0,True,4934-1
4292,6191,4936,1,Modern day,City,2007,Doc & Patient,2.0,18.0,True,4936-1
4293,6093,4937,1,Modern day,City,2007,Life Guard,1.0,38.0,True,4937-1
4294,6094,4938,1,Modern day,City,2007,Fire 4x4,1.0,28.0,True,4938-1
4295,5562,4939,1,Model making,Creator,2007,Cool Cars,,206.0,True,4939-1
4296,2384,4940,1,Action/Adventure,Rock Raiders,1999,The Granite Grinder,1.0,109.0,True,4940-1
4297,4821,4941,1,Historical,Castle,2005,CPW Rascus,1.0,3.0,True,4941-1
4298,4820,4942,1,Historical,Castle,2005,CPW Shadow Knight,1.0,3.0,True,4942-1
4299,4819,4943,1,Historical,Castle,2005,CPW Vladek,1.0,3.0,True,4943-1
4300,4818,4944,1,Historical,Castle,2005,CPW Jayko,1.0,3.0,True,4944-1
4301,4817,4945,1,Historical,Castle,2005,CPW Santis,1.0,3.0,True,4945-1
4302,4816,4946,1,Historical,Castle,2005,CPW Danju,1.0,3.0,True,4946-1
4303,5484,4947,1,Racing,Racers,2006,Yellow Sports Car,,28.0,True,4947-1
4304,5485,4948,1,Racing,Racers,2006,Red Racer,,22.0,True,4948-1
4305,5486,4949,1,Racing,Racers,2006,Blue Buggy,,24.0,True,4949-1
4306,2385,4950,1,Action/Adventure,Rock Raiders,1999,The Loader-Dozer,1.0,90.0,True,4950-1
4307,5564,4953,1,Model making,Creator,2007,Fast Flyers,,312.0,True,4953-1
4308,5768,4954,1,Model making,Creator,2007,Model Town House,,1174.0,True,4954-1
4309,6088,4955,1,Model making,Creator,2007,Big Rig,,550.0,True,4955-1
4310,5563,4956,1,Model making,Creator,2007,House,,731.0,True,4956-1
4311,5769,4957,1,Model making,Creator,2007,Ferris Wheel,,1063.0,True,4957-1
4312,5770,4958,1,Model making,Creator,2007,Monster Dino,,792.0,True,4958-1
4313,2386,4959,1,Action/Adventure,Rock Raiders,1999,The Loader-Dozer,,87.0,False,
4314,5171,4960,1,Pre-school,Duplo,2006,Giant Zoo,5.0,126.0,True,4960-1
4315,5172,4961,1,Pre-school,Duplo,2006,Fun Zoo,,30.0,True,4961-1
4316,5173,4962,1,Pre-school,Duplo,2006,Baby Zoo,1.0,18.0,True,4962-1
4317,27725,4962,2,Pre-school,Duplo,2014,Baby Zoo (Re-release),1.0,18.0,True,4962-2
4318,5174,4963,1,Pre-school,Duplo,2006,Police Patrol,1.0,8.0,True,4963-1
4319,5175,4964,1,Pre-school,Duplo,2006,Highway Help,2.0,26.0,True,4964-1
4320,5309,4965,1,Pre-school,Duplo,2006,Police Action,4.0,65.0,True,4965-1
4321,5458,4966,1,Pre-school,Duplo,2006,Doll's House,4.0,95.0,True,4966-1
4322,5176,4967,1,Pre-school,Duplo,2006,Fire Helicopter,2.0,14.0,True,4967-1
4323,5241,4968,1,Pre-school,Duplo,2006,Friendly Zoo,2.0,84.0,True,4968-1
4324,5177,4969,1,Pre-school,Duplo,2006,Tractor Fun,1.0,4.0,True,4969-1
4325,2388,4970,1,Action/Adventure,Rock Raiders,1999,The Chrome Crusher,1.0,168.0,True,4970-1
4326,5384,4971,1,Pre-school,Duplo,2006,Zoo Vehicles,2.0,37.0,True,4971-1
4327,5705,4972,1,Pre-school,Duplo,2007,Animals,1.0,13.0,True,4972-1
4328,5706,4973,1,Pre-school,Duplo,2007,Harvester,1.0,11.0,True,4973-1
4329,5707,4974,1,Pre-school,Duplo,2007,Horse Stables,2.0,36.0,True,4974-1
4330,5708,4975,1,Pre-school,Duplo,2007,Farm,2.0,42.0,True,4975-1
4331,5709,4976,1,Pre-school,Duplo,2007,Cement Mixer,1.0,11.0,True,4976-1
4332,5710,4977,1,Pre-school,Duplo,2007,Fire Truck,2.0,26.0,True,4977-1
4333,6106,4978,1,Pre-school,Duplo,2007,Road Sweeper,1.0,11.0,True,4978-1
4334,5711,4979,1,Pre-school,Duplo,2007,Ambulance,1.0,6.0,True,4979-1
4335,2389,4980,1,Action/Adventure,Rock Raiders,1999,The Tunnel Transport,2.0,351.0,True,4980-1
4336,5843,4981,1,Licensed,SpongeBob SquarePants,2007,The Chum Bucket,3.0,337.0,True,4981-1
4337,5844,4982,1,Licensed,SpongeBob SquarePants,2007,Mrs. Puff's Boating School,3.0,393.0,True,4982-1
4338,6104,4986,1,Pre-school,Duplo,2007,Digger,1.0,19.0,True,4986-1
4339,6105,4987,1,Pre-school,Duplo,2007,Gravel Pit,2.0,40.0,True,4987-1
4340,6107,4988,1,Pre-school,Duplo,2007,Construction Site,3.0,84.0,True,4988-1
4341,2390,4990,1,Action/Adventure,Rock Raiders,1999,The Rock Raiders HQ,4.0,406.0,True,4990-1
4342,6187,4991,1,Modern day,City,2007,Police Helicopter,1.0,31.0,True,4991-1
4343,6188,4992,1,Modern day,City,2007,Fire Boat,1.0,27.0,True,4992-1
4344,6435,4993,1,Model making,Creator,2008,Cool Convertible,,648.0,True,4993-1
4345,6237,4994,1,Model making,Creator,2008,Fierce Creatures,,193.0,True,4994-1
4346,6238,4995,1,Model making,Creator,2008,Cargo Copter,,272.0,True,4995-1
4347,6231,4996,1,Model making,Creator,2008,Beach House,,522.0,True,4996-1
4348,6436,4997,1,Model making,Creator,2008,Transport Ferry,,1279.0,True,4997-1
4349,6437,4998,1,Model making,Creator,2008,Stegosaurus,,731.0,True,4998-1
4350,6678,4999,1,Model making,Creator Expert,2008,Vestas Wind Turbine,3.0,815.0,True,4999-1
4351,2392,5000,1,Miscellaneous,Service Packs,1987,Replacement Motor 4.5V,,1.0,True,5000-1
4352,2393,5001,1,Miscellaneous,Service Packs,1987,4 Wheel Bushes for 4.5V Basic Motor,,4.0,True,5001-1
4353,2394,5002,1,Miscellaneous,Service Packs,1987,2 Rubber Crawler Tracks,,2.0,True,5002-1
4354,2395,5003,1,Miscellaneous,Service Packs,1987,2 Lighting Bricks 4.5V,,2.0,True,5003-1
4355,2396,5004,1,Miscellaneous,Service Packs,1987,2 Keys for Wind-Up Motor,,2.0,True,5004-1
4356,2397,5005,1,Miscellaneous,Service Packs,1987,Battery Box Grey 4.5V for use with Basic set 816,,1.0,True,5005-1
4357,2398,5006,1,Miscellaneous,Service Packs,1987,Replacement 2-Piece Battery Motor Housing,,2.0,True,5006-1
4358,2399,5007,1,Miscellaneous,Service Packs,1989,"Basic Motor 4.5V, Motor and Gear Housing. For use with set 810",,1.0,True,5007-1
4359,2400,5008,1,Miscellaneous,Service Packs,1990,Element Separator Grey,,1.0,True,5008-1
4360,2401,5009,1,Miscellaneous,Service Packs,1990,Building Plate 16 x 32 Yellow,,1.0,True,5009-1
4361,2402,5010,1,Miscellaneous,Service Packs,1990,Building Plate 16 x 32 Green,,1.0,True,5010-1
4362,2403,5011,1,Miscellaneous,Service Packs,1993,"Motor for Basic Set 810, 9V",,1.0,True,5011-1
4363,2404,5012,1,Modern day,Sports,2003,Soccer,1.0,15.0,True,5012-1
4364,5090,5013,1,Modern day,Sports,2003,Basketball,1.0,25.0,True,5013-1
4365,2405,5014,1,Modern day,Sports,2003,Hockey,,28.0,True,5014-1
4366,2406,5015,1,Modern day,Sports,2003,Skater,1.0,15.0,True,5015-1
4367,2407,5016,1,Modern day,Sports,2003,Basketball,1.0,17.0,True,5016-1
4368,2408,5017,1,Modern day,Sports,2003,Hockey Headshox,,36.0,True,5017-1
4369,2409,5018,1,Modern day,Sports,2003,Snowboard,1.0,16.0,True,5018-1
4370,2410,5021,1,Miscellaneous,Service Packs,1999,Primo Wagons,,2.0,True,5021-1
4371,2411,5022,1,Miscellaneous,Service Packs,1998,Primo / Duplo Converter Bricks,,4.0,True,5022-1
4372,2412,5023,1,Miscellaneous,Service Packs,1998,Duplo Farm Fences,,4.0,True,5023-1
4373,2413,5024,1,Miscellaneous,Service Packs,1997,"Duplo Start / Stop Rail, Single Rail, Change of Direction Switch",,4.0,True,5024-1
4374,2414,5025,1,Miscellaneous,Service Packs,1999,Duplo Tubes with Balls,,7.0,True,5025-1
4375,2415,5026,1,Miscellaneous,Service Packs,1997,"Toolo Loader, Hook and Turntable",,3.0,True,5026-1
4376,2416,5027,1,Miscellaneous,Service Packs,1996,Duplo Start / Stop Rail Plus Straight Rail,,3.0,True,5027-1
4377,2417,5028,1,Miscellaneous,Service Packs,1996,Duplo Primo Plate 4 x 4 Blue,,1.0,True,5028-1
4378,2418,5029,1,Miscellaneous,Service Packs,1996,"Duplo Family, Caucasian",6.0,5.0,True,5029-1
4379,2420,5030,1,Miscellaneous,Service Packs,1993,Signs for Use with Lighting Bricks 9V,,16.0,True,5030-1
4380,2421,5031,1,Miscellaneous,Service Packs,1987,"2 Propellers, 3 Nose Wheels and Rotor Unit",,15.0,True,5031-1
4381,2422,5032,1,Miscellaneous,Service Packs,1987,Jack,,1.0,True,5032-1
4382,2423,5033,1,Miscellaneous,Service Packs,1987,Light and Sound 1 x 4 Lighting Brick and 4 Colour Globes,,5.0,True,5033-1
