Number,Name,Theme - Subtheme,Year,Pieces,Minifigs
850752-1,Paris Key Chain,Gear - Key Chains/Locations,2013,,
850760-1,Paris minifig magnet,Gear - Magnets/Miscellaneous,2013,,
850761-1,Germany Key Chain,Gear - Key Chains/Locations,2013,,
850771-1,LEGO Brickley Bag Charm,Gear - Bag charms,2013,,
850775-1,Legends of Chima Speedorz Storage Bag,Gear - Storage,2013,,
850776-1,Legends of Chima Playmat,Gear - Playmats,2013,,
850777-1,Legends of Chima Accessory Set,Legends of Chima - Accessory Sets,2013,34,
850779-1,Legends of Chima Minifigure Accessory Set,Legends of Chima - Accessory Sets,2013,42,4
850781-1,Friends Carry Case House,Gear - Bags,2013,,
850789-1,Friends Horse Bag Charm,Gear - Bag charms,2013,,
850791-1,LEGO Minifigure Birthday Set,Seasonal - Birthday,2013,28,2
850794-1,LEGO Family Car Stickers,Gear - Stickers,2013,,
850797-1,LEGO Classic Wall Stickers,Gear - Stationery,2013,,
850798-1,LEGO Classic Name Sign,Gear - Miscellaneous,2013,,
850800-1,Hedgehog Bag Charm,Gear - Bag charms,2013,,
850807-1,Gold Minifigure Key Chain,Gear - Key Chains/Miscellaneous,2013,,
850808-1,Gold 2 x 4 Stud Key Chain,Gear - Key Chains/Brick,2013,,
850813-1,DC Universe Super Heroes Superman Key Chain,Gear - Key Chains/Super Heroes,2013,,
850814-1,Marvel Super Heroes The Hulk Key Chain,Gear - Key Chains/Super Heroes,2013,,
850815-1,DC Universe Super Heroes Arctic Batman Key Chain,Gear - Key Chains/Super Heroes,2013,,
850838-1,Splinter Key Chain,Gear - Key Chains/Teenage Mutant Ninja Turtles,2013,,
850839-1,Classic Pirate Set,Pirates,2013,39,4
850840-1,Classic Gift Bag,Gear - Seasonal,2013,,
850841-1,Classic Gift Wrap,Gear - Seasonal,2013,,
850842-1,Fire Truck Holiday Bauble,Seasonal - Christmas,2013,34,
850843-1,T-Rex Holiday Bauble,Seasonal - Christmas,2013,25,
850849-1,Doghouse Holiday Bauble,Seasonal - Christmas,2013,29,
850850-1,Santa Holiday Bauble,Seasonal - Christmas,2013,23,
850851-1,Tree Holiday Bauble,Seasonal - Christmas,2013,26,
850852-1,Reindeer Holiday Bauble,Seasonal - Christmas,2013,21,
853297-1,SpongeBob Key Chain,Gear - Key Chains/SpongeBob SquarePants,2013,,
853303-1,Exclusive LEGO VIP Key Chain,Gear - Key Chains/Seasonal,2013,,
2000425-1,LME EV3 Workshop Kit,Serious Play,2013,,
2000430-1,Identity and Landscape Kit,Serious Play,2013,2631,6
2000431-1,Connections Kit,Serious Play,2013,2455,
2856236-1,Red Brick Clock,Gear - Watches/Clocks,2013,,
2856238-1,Yellow Brick Clock,Gear - Watches/Clocks,2013,,
4000008-1,Villy Thomsen Truck,Miscellaneous - LEGO Inside Tour Exclusive,2013,,3
4000009-1,HMV Production,Miscellaneous - LEGO internal,2013,,
4000013-1,A LEGO Christmas Tale,Miscellaneous - Employee gift,2013,435,
5000704-1,Find a Pair Game,Gear - Games,2013,,
5001121-1,BR LEGO Minifigure,Promotional - Minifigure,2013,5,1
5001270-1,Robot & Micro Designer,Master Builder Academy,2013,383,
5001512-1,Darth Vader Desk Lamp,Gear - Lights,2013,,
5001621-1,Han Solo (Hoth),Star Wars - Episode V,2013,5,1
5001622-1,LEGO Store Employee,Promotional - LEGO brand stores,2013,5,1
5001623-1,Jor-El,DC Comics Super Heroes - DC Extended Universe,2013,5,1
5001709-1,Clone Trooper Lieutenant,Star Wars - Episode II,2013,5,1
5002032-1,Star Wars 2014 Pocket Calendar,Gear - Stationery,2013,,
5002033-1,Legends of Chima Lennox Kids' Watch,Gear - Watches/Clocks,2013,,
5002146-1,Vintage Minifigure Collection 2013 Vol. 1,Promotional - Toys R Us,2013,20,5
5002147-1,Vintage Minifigure Collection 2013 Vol. 2,Promotional - Toys R Us,2013,21,5
5002148-1,Vintage Minifigure Collection 2013 Vol. 3,Promotional - Toys R Us,2013,22,5
5002194-1,LEGO City: Undercover,Gear - Video Games/Wii U,2013,,
5002195-1,LEGO Ninjago: Masters of Spinjitzu Season Two,Gear - Digital media,2013,,
5002198-1,LEGO Star Wars: The Empire Strikes Out,Gear - Digital media,2013,,1
5002201-1,Friends Brick Light (Pink),Gear - Lights,2013,,
5002202-1,LEGO Batman - The Movie: DC Super Heroes Unite DVD,Gear - Digital media,2013,,1
5002207-1,Classic Minifigure Link Watch,Gear - Watches/Clocks,2013,,
5002208-1,Legends of Chima Crawley Kids Minifigure Watch,Gear - Watches/Clocks,2013,,
5002209-1,Legends of Chima Lennox Kids Minifigure Watch,Gear - Watches/Clocks,2013,,
5002210-1,C-3PO and R2-D2 Minifigure Watch,Gear - Watches/Clocks,2013,,
5002211-1,Obi-Wan Kenobi vs. Darth Vader Minifigure Watch,Gear - Watches/Clocks,2013,,
5002212-1,Chewbacca Minifigure Watch,Gear - Watches/Clocks,2013,,1
5002417-1,Legends of Chima Cragger Minifigure Clock,Gear - Watches/Clocks,2013,,
5002420-1,LEGO City Undercover: The Chase Begins,Gear - Video Games/3DS,2013,,
5002421-1,Legends of Chima Laval Minifigure Clock,Gear - Watches/Clocks,2013,,
5002422-1,The Joker Minifigure Clock,Gear - Watches/Clocks,2013,,
5002423-1,Batman Minifigure Clock,Gear - Watches/Clocks,2013,,
5002424-1,Superman Minifigure Clock,Gear - Watches/Clocks,2013,,
5002467-1,Friends 2x4 Key Light,Gear - Lights,2013,,
5002468-1,Santa Key Light,Gear - Lights,2013,,
5002470-1,Brick Key Light (Green),Gear - Lights,2013,,
5002471-1,2x4 Brick Key Light (Red),Gear - Lights,2013,,
5002517-1,Tower of Orthanc Poster,Gear - Posters,2013,,
5002518-1,Belkin Brand iPhone 5 Case Blue/Purple,Gear - Phone cases,2013,,
5002520-1,Belkin Brand iPhone 5 Case Black/Blue,Gear - Phone cases,2013,,
5002664-1,Legends of Chima Laval's Journey Nintendo 3DS Video Game,Gear - Video Games/3DS,2013,,
5002665-1,Legends of Chima: Laval's Journey,Gear - Video Games/DS,2013,,
5002666-1,Legends of Chima Laval's Journey PS Vita Video Game,Gear - Video Games/PS Vita,2013,,
5002671-1,Friends ZipBin Toy Box: Heartlake Place,Gear - Storage,2013,,
5002672-1,Friends ZipBin Wristlet,Gear - Storage,2013,,
5002673-1,Legends of Chima: The Power of the CHI DVD,Gear - Digital media,2013,,
5002674-1,Moleskine 2014 Weekly Pocket Planner,Gear - Stationery,2013,,
5002675-1,Moleskine 2014 Daily Pocket Planner,Gear - Stationery,2013,,
5002676-1,Moleskine 2014 Large Weekly Planner,Gear - Stationery,2013,,
5002677-1,Moleskine 2014 Large Daily Planner,Gear - Stationery,2013,,
5002678-1,LEGO Belkin Brand iPhone 5 Builder Case Yellow/Red,Gear - Phone cases,2013,,
5002679-1,Legends of Chima Classic Backpack,Gear - Bags,2013,,
5002774-1,Batman: DC Universe Super Heroes Wii U Video Game,Gear - Video Games/Wii U,2013,,
5002779-1,iPod touch Case Yellow and Blue,Gear - Phone cases,2013,,
5002790-1,Marvel 3DS,Gear - Video Games/3DS,2013,,
5002792-1,Marvel PC,Gear - Video Games/PC,2013,,
5002793-1,Marvel PS VITA,Gear - Video Games/PS Vita,2013,,
5002794-1,Marvel PS3,Gear - Video Games/PS3,2013,,
5002796-1,Marvel WII U,Gear - Video Games/Wii U,2013,,
5002801-1,Friends Brick Light (Purple),Gear - Lights,2013,,
5002803-1,Brick Light (Yellow),Gear - Lights,2013,,
5002804-1,2x4 Brick Key Light (Green),Gear - Lights,2013,,
5002805-1,2x4 Brick Key Light (Blue),Gear - Lights,2013,,
5002822-1,Darth Maul and Yoda Magnets,Gear - Magnets/Star Wars,2013,,
5002823-1,Darth Vader and Obi Wan Kenobi Magnets,Gear - Magnets/Star Wars,2013,,
5002824-1,"Han Solo, Chewbacca and Stormtrooper Magnets",Gear - Magnets/Star Wars,2013,,
5002825-1,"Luke Skywalker, Princess Leia and Boba Fett Magnets",Gear - Magnets/Star Wars,2013,,
5002826-1,Batman and Superman magnets,Gear - Magnets/Super Heroes,2013,,
5002827-1,Magnet Set: Spiderman and Iron Man,Gear - Magnets/Super Heroes,2013,,
5002828-1,Magnet Set: Frodo and Bilbo Baggins,Gear - Magnets/Lord Of The Rings,2013,,
5002891-1,The LEGO Movie Poster Sticker,Gear - Stickers,2013,,
5002900-1,iPod touch Case Red and Blue,Gear - Phone cases,2013,,
5002901-1,iPod touch Case Green and Blue,Gear - Phone cases,2013,,
5003079-1,LEGO Friends,Gear - Video Games/3DS,2013,,
5003564-1,Friends Sorting System,Gear - Storage,2013,,
6031636-1,Friends promotional pack,Gear - Miscellaneous,2013,,
6031640-1,Chima Promotional Pack,Legends of Chima - Promotional,2013,5,
6031641-1,Lion tribe rip-cord and topper,Legends of Chima - Promotional,2013,2,
6031645-1,City promotional pack,Gear - Miscellaneous,2013,,
6043173-1,Promotional polybag,Friends,2013,23,
6043183-1,Children's Jewellery,Friends,2013,,
6043191-1,Promotional pack,Legends of Chima - Promotional,2013,12,
6043203-1,Croc tribe rip-cord and topper,Legends of Chima - Promotional,2013,2,
9003455-1,City Fire watch,Gear - Watches/Clocks,2013,,
CANOGA-1,Canoga Park Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
COMCON027-1,Spider-Woman,Marvel Super Heroes - Comics,2013,4,1
COMCON028-1,Spider-Man,Marvel Super Heroes - The Amazing Spider-Man,2013,3,1
COMCON029-1,Black Suit Superman Minifigure (SDCC 2013 Exclusive),DC Comics Super Heroes - Promotional Exclusive Minifigure,2013,5,1
COMCON030-1,Green Arrow Minifigure (SDCC 2013 Exclusive),DC Comics Super Heroes,2013,4,1
COMCON031-1,Azog Minifigure,The Hobbit - Promotional Exclusive Minifigure,2013,,1
COMCON032-1,Jek-14 Mini Stealth Starfighter,Star Wars - Original Content,2013,127,1
COMCON033-1,Micro Scale Bag End,The Hobbit - An Unexpected Journey,2013,130,1
DESPERES-1,"Des Peres, Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,16,
EDMONTON-1,Edmonton Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
ELF-1,Mirkwood Elf,The Hobbit - The Desolation of Smaug,2013,6,1
EV3MEG-1,EV3 MEG Mini,Mindstorms - EV3,2013,,
FREEHOLD-1,Freehold Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
GLASGOW-1,"Glasgow, UK Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,15,3
GURNEE-1,Gurnee Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
ISBN0805087613-1,Cool Cars and Trucks,Books - Henry Holt & Company,2013,,
ISBN0805087621-1,Cool City,Books - Henry Holt & Company,2013,,
ISBN080508763X-1,Cool Robots,Books - Henry Holt & Company,2013,,
ISBN080509539X-1,Cool Castles,Books - Henry Holt & Company,2013,,
ISBN1250031109-1,Totally Cool Creations,Books - Square Fish,2013,,
ISBN1409324621-1,LEGO Minifigures: Character Encyclopedia,Books - Dorling Kindersley,2013,6,1
ISBN1409326055-1,LEGO Star Wars: Battle for the Stolen Crystals: Brickmaster,Books - Dorling Kindersley,2013,189,2
ISBN1409326063-1,LEGO Legends of Chima: The Quest for CHI: Brickmaster,Books - Dorling Kindersley,2013,187,
ISBN1409327515-1,The LEGO Play Book,Books - Dorling Kindersley,2013,,
ISBN1409333124-1,LEGO Minifigure Year by Year: A Visual History,Books - Dorling Kindersley,2013,12,3
ISBN1409333582-1,LEGO Star Wars: The Yoda Chronicles,Books - Dorling Kindersley,2013,4,1
ISBN1438002491-1,Brick City: Global Icons to Make from LEGO (US edition),Books - Barron's Educational Series,2013,,
ISBN1481148281-1,The Secret Life Of Plastic People,Books - CreateSpace,2013,,
ISBN1482528932-1,The Unofficial LEGO Minifigure Catalog: 2nd Edition,Books - CreateSpace/Bartneck,2013,,
ISBN1482529106-1,The Star Wars LEGO Minifigure Catalog: 2nd Edition,Books - CreateSpace/Bartneck,2013,,
ISBN1482529319-1,The 2012 LEGO Minifigure Catalog: 1st Edition,Books - CreateSpace/Bartneck,2013,,
ISBN1482529343-1,The 2011 LEGO Minifigure Catalog: 2nd Edition,Books - CreateSpace/Bartneck,2013,,
ISBN1593274904-1,The BrickGun Book,Books - No Starch Press,2013,,
ISBN159327503X-1,"The LEGO Build-It Book, Vol. 1: Amazing Vehicles",Books - No Starch Press,2013,,
ISBN1593275080-1,Beautiful LEGO,Books - No Starch Press,2013,,
ISBN1593275129-1,"The LEGO Adventure Book, Vol. 2: Spaceships, Pirates, Dragons & More!",Books - No Starch Press,2013,,
ISBN1593275137-1,"The LEGO Build-It Book, Vol. 2: Amazing Vehicles",Books - No Starch Press,2013,,
ISBN1593275218-1,LEGO Space: Building the Future,Books - No Starch Press,2013,,
ISBN1593275331-1,The LEGO MINDSTORMS EV3 Laboratory,Books - No Starch Press,2013,,
ISBN1626361185-1,A Million Little Bricks: The Unofficial Illustrated History of the LEGO Phenomenon,Books - Skyhorse Publishing,2013,,
ISBN184533812X-1,Brick City: LEGO for Grown-ups,Books - Mitchell Beazley,2013,,
ISBN184794115X-1,Brick by Brick: How LEGO Rewrote the Rules of Innovation and Conquered the Toy Industry,Books - Random House,2013,,
ISBN3868527664-1,Build Your Own LEGO Vehicles,Books - Heel-Verlag,2013,,
ISBN386852777X-1,LEGO Galaxy: Build Your Own Universe,Books - Heel-Verlag,2013,,
JOKERMECH-1,The Joker's Mech,DC Comics Super Heroes - Loose Build,2013,,
LEEDS-1,"Leeds, UK Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,16,3
LEONARDO-1,Shadow Leonardo UK tin edition,Teenage Mutant Ninja Turtles - Promotional,2013,,1
LILLE-1,"Lille, France, Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,,3
LOTRDVDBD-1,The Hobbit - An Unexpected Journey Blu-ray with Bilbo Baggins Minifigure,Gear - Digital media,2013,,1
LSMMBE1-1,Castle,Promotional - LEGO brand stores,2013,,
LSMMBE2-1,Aircraft,Promotional - LEGO brand stores,2013,,
MAY2013-1,Holocron Droid,Star Wars - Original Content,2013,31,
MINECON-1,Steve,Minecraft - Miscellaneous,2013,19,
MUNICH-1,"Munich Pasing, Germany, Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,12,3
MURRAY-1,Murray Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
NYCC2013-1,Yoda display box,Star Wars - Promotional,2013,,
SANANTONIO-1,"San Antonio, Tx, Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,16,
SOOUEST-1,"SO Ouest, France, Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,,3
SUPERMAN-1,Superman,Promotional - LEGO brand stores,2013,31,
SURREY-1,Surrey Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
TORONTO-3,"Yorkdale, Toronto, Canada Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,16,3
TRU03-1,Mini Jek-14 Stealth Fighter,Star Wars - Original Content,2013,40,
TRUCHIMA-1,Chima,Promotional - Toys R Us,2013,,
TRUPCAR-1,Police Car,Promotional - Toys R Us,2013,,
VIENNA-1,"Vienna, Austria Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,18,
VIENNA-2,"Vienna, Austria Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,17,
WATFORD-1,"Watford, UK Exclusive Minifigure Pack",Promotional - LEGO brand store opening set,2013,14,3
WESTCHESTER-1,Westchester Exclusive Minifigure Pack,Promotional - LEGO brand store opening set,2013,,
WISHINGWELL-1,Wishing Well,Friends - Promotional,2013,28,
YODA-1,"Yoda minifig, NY I Heart Torso",Star Wars - Promotional,2013,3,1
YODACHRON-1,Yoda Chronicles Promotional Set,Star Wars - Original Content,2013,408,3
4962-2,Baby Zoo (Re-release),Duplo - Zoo,2014,18,1
10241-1,Maersk Line Triple-E,Creator Expert - Maersk,2014,1518,
10242-1,MINI Cooper MK VII,Creator Expert - Vehicles,2014,1077,
10243-1,Parisian Restaurant,Creator Expert - Modular Buildings,2014,2469,5
10244-1,Fairground Mixer,Creator Expert - Fairground,2014,1746,12
10245-1,Santa's Workshop,Creator Expert - Winter Village,2014,883,6
10521-1,Baby Calf,Duplo,2014,9,1
10522-1,Farm Animals,Duplo,2014,12,
10524-1,Farm Tractor,Duplo,2014,29,1
10525-1,Big Farm,Duplo,2014,121,2
10526-1,Peter Pan's Visit,Duplo - Jake and the Never Land Pirates,2014,39,2
10527-1,Ambulance,Duplo,2014,14,1
10528-1,School Bus,Duplo,2014,26,3
10529-1,Truck,Duplo,2014,16,1
10532-1,My First Police Set,Duplo,2014,39,2
10538-1,Fire and Rescue Team,Duplo - Disney Planes,2014,30,
10539-1,Beach Racing,Duplo - Jake and the Never Land Pirates,2014,37,1
10542-1,Sleeping Beauty's Fairy Tale,Duplo - Disney Princess,2014,55,2
10543-1,Superman Rescue,Duplo,2014,19,1
10544-1,The Joker Challenge,Duplo,2014,40,2
10545-1,Batcave Adventure,Duplo,2014,59,2
10546-1,My First Shop,Duplo,2014,39,2
10565-1,Creative Suitcase,Duplo,2014,135,
10566-1,Creative Picnic,Duplo,2014,52,
10567-1,Toddler Build and Boat Fun,Duplo,2014,18,
10568-1,Knight Tournament,Duplo,2014,16,1
10569-1,Treasure Attack,Duplo,2014,46,3
10570-1,All-in-One Gift Set,Duplo,2014,30,
10571-1,All-in-One-Pink-Box-of-Fun,Duplo,2014,65,1
10572-1,All-in-One-Box-of-Fun,Duplo,2014,65,1
10573-1,Creative Animals,Duplo,2014,25,
10574-1,Creative Ice Cream,Duplo,2014,24,
10575-1,Creative Building Cube,Duplo,2014,75,
10576-1,Zoo Care,Duplo,2014,9,1
10577-1,Big Royal Castle,Duplo,2014,135,4
10579-1,Clubhouse Cafe,Duplo - Mickey Mouse Clubhouse,2014,16,
10580-1,Deluxe Box of Fun,Duplo,2014,95,2
10665-1,Spider-Man: Spider-Car Pursuit,Juniors - Marvel Super Heroes,2014,55,2
10666-1,Digger,Juniors - City,2014,75,1
10667-1,Construction,Juniors - City,2014,160,1
10668-1,The Princess Play Castle,Juniors - Fantasy,2014,150,1
10669-1,Turtle Lair,Juniors - Teenage Mutant Ninja Turtles,2014,107,2
10671-1,Fire Emergency,Juniors - City,2014,123,2
10672-1,Batman: Defend the Batcave,Juniors - DC Comics Super Heroes,2014,150,3
10673-1,Race Car Rally,Juniors - City,2014,350,2
10674-1,Pony Farm,Juniors - Girl,2014,306,1
10675-1,Police – The Big Escape,Juniors - City,2014,146,3
10676-1,Knights' Castle,Juniors - Fantasy,2014,480,4
10681-1,Creative Building Cube,Bricks and More,2014,600,
10682-1,Creative Suitcase,Bricks and More,2014,1000,
21019-1,The Eiffel Tower,Architecture - Landmark Series,2014,321,
21020-1,Trevi Fountain,Architecture - Landmark series,2014,731,
21104-1,NASA Mars Science Laboratory Curiosity Rover,Ideas - NASA,2014,295,
21107-1,The End,Minecraft - Micro World,2014,440,4
21108-1,Ghostbusters Ecto-1,Ideas - Licensed,2014,508,4
21109-1,Exo Suit,Ideas,2014,321,2
21110-1,Research Institute,Ideas,2014,165,3
21113-1,The Cave,Minecraft - Minifig-scale,2014,249,2
21114-1,The Farm,Minecraft - Minifig-scale,2014,262,2
21115-1,The First Night,Minecraft - Minifig-scale,2014,408,2
21116-1,Crafting Box,Minecraft - Minifig-scale,2014,518,2
21117-1,The Ender Dragon,Minecraft - Minifig-scale,2014,634,4
21118-1,The Mine,Minecraft - Minifig-scale,2014,922,4
21204-1,Town Master,Fusion,2014,256,1
21205-1,Battle Towers,Fusion,2014,212,
21206-1,Create and Race,Fusion,2014,223,
21208-1,Resort Designer,Fusion,2014,263,1
30067-0,Farm {Random Bag},Duplo - Farm,2014,5,
30067-2,Farm - Farmer,Duplo,2014,4,
30067-3,Farm - Calf,Duplo,2014,4,
30067-4,Farm - Goat,Duplo,2014,4,
30067-5,Farm - Cat,Duplo,2014,4,
30068-1,Apple,Duplo,2014,6,
30112-1,Emma's Flower Stand,Friends,2014,33,1
30113-1,Stephanie's Bakery Stand,Friends,2014,28,1
30114-1,Andrea's Beach Lounge,Friends - Summer,2014,29,1
30115-1,Jungle Boat,Friends - Jungle Rescue,2014,31,1
30116-1,Rapunzel's Market Visit,Disney - Tangled,2014,37,1
30187-1,Fast Car,Creator,2014,56,
30188-1,Cute Kitten,Creator,2014,54,
30189-1,Transport Plane,Creator,2014,49,
30197-1,Snowman,Creator - Seasonal,2014,60,
30226-1,Police Helicopter,City - Police,2014,48,1
30227-1,Police Watercraft,City - Police,2014,36,2
30228-1,Police ATV,City - Police,2014,40,1
30229-1,Repair Lift,City - Traffic,2014,40,1
30244-1,Anakin's Jedi Interceptor,Star Wars - Episode III,2014,45,
30246-1,Imperial Shuttle,Star Wars - Episode VI,2014,57,
30247-1,ARC-170 Starfighter,Star Wars - Episode III,2014,54,
30262-1,Gorzan's Walker,Legends of Chima - Outlands,2014,34,1
30263-1,Spider Crawler,Legends of Chima - Outlands,2014,40,1
30264-1,Frax' Phoenix Flyer,Legends of Chima - Fire vs. Ice,2014,32,1
30265-1,Worriz' Fire Bike,Legends of Chima - Fire vs. Ice,2014,31,1
30266-1,Sykor's Ice Cruiser,Legends of Chima - Fire vs. Ice,2014,25,1
30271-1,Mikey's Mini-Shellraiser,Teenage Mutant Ninja Turtles - TV Series,2014,47,1
30280-1,The Piece of Resistance,The LEGO Movie - Promotional,2014,33,1
30281-1,Micro Manager Battle,The LEGO Movie - Promotional,2014,27,1
30282-1,Super Secret Police Enforcer,The LEGO Movie - Promotional,2014,40,1
30300-1,The Batman Tumbler,DC Comics Super Heroes - The Dark Knight Trilogy,2014,57,
30301-1,Batwing,DC Comics Super Heroes - Batman,2014,45,
30302-1,Spider-Man,Marvel Super Heroes - Ultimate Spider-Man,2014,45,1
30310-1,Arctic Scout,City - Arctic,2014,40,1
31013-1,Red Thunder,Creator,2014,66,
31014-1,Power Digger,Creator,2014,64,
31015-1,Emerald Express,Creator,2014,56,
31017-1,Sunset Speeder,Creator,2014,119,
31018-1,Highway Cruiser,Creator,2014,129,
31019-1,Forest Animals,Creator,2014,272,
31020-1,Twinblade Adventures,Creator,2014,216,
31021-1,Furry Creatures,Creator,2014,285,
31022-1,Turbo Quad,Creator,2014,186,
31023-1,Yellow Racers,Creator,2014,328,
31024-1,Roaring Power,Creator,2014,374,
31025-1,Mountain Hut,Creator,2014,550,1
31026-1,Bike Shop & Cafe,Creator,2014,1023,3
40085-1,LEGO Valentine,Seasonal - Valentine's Day,2014,127,
40086-1,LEGO Easter,Seasonal - Easter,2014,106,
40090-1,Halloween Bat,Seasonal - Halloween,2014,156,
40091-1,Thanksgiving Turkey,Seasonal - Thanksgiving,2014,125,
40092-1,Reindeer,Seasonal - Christmas,2014,139,
40093-1,Snowman,Seasonal - Christmas,2014,140,
40094-1,Snowplough,Promotional - Monthly Mini Model Build,2014,46,
40095-1,Micro Manager,Promotional - Monthly Mini Model Build,2014,50,
40096-1,Spring Tree,Promotional - Monthly Mini Model Build,2014,62,
40097-1,Helicopter,Promotional - Monthly Mini Model Build,2014,44,
40098-1,Dragon,Promotional - Monthly Mini Model Build,2014,43,
40099-1,Jet-Ski,Promotional - Monthly Mini Model Build,2014,33,
40100-1,Surf Van,Promotional - Monthly Mini Model Build,2014,46,
40101-1,Monkey,Promotional - Monthly Mini Model Build,2014,46,
40102-1,Aircraft,Promotional - Monthly Mini Model Build,2014,37,
40103-1,Rocket,Promotional - Monthly Mini Model Build,2014,48,
40104-1,Frankenstein's Monster,Promotional - Monthly Mini Model Build,2014,36,
40105-1,Gingerbread House,Promotional - Monthly Mini Model Build,2014,54,
40106-1,Toy Workshop,Seasonal - Christmas,2014,107,2
40107-1,Winter Skating Scene,Seasonal - Christmas,2014,129,2
40108-1,Balloon Cart,Creator,2014,66,2
40109-1,MINI Cooper Mini Model,Creator,2014,59,
40110-1,LEGO City Coin Bank,City - Police,2014,122,1
40112-1,Catwalk phone stand,Friends,2014,144,
40114-1,Buildable Jewellery Box,Friends,2014,201,
40115-1,LEGOLAND Entrance with Family,Promotional - LEGOLAND,2014,320,
40116-1,Hero Robot,HERO Factory,2014,31,1
40117-1,Villains Minimodel,HERO Factory,2014,28,1
40118-1,Buildable Brick Box 2x2,Miscellaneous,2014,203,1
40180-1,Bricktober Theater,Promotional - Toys R Us,2014,164,
40181-1,Bricktober Pizza Place,Promotional - Toys R Us,2014,139,
40182-1,Bricktober Fire Station,Promotional - Toys R Us,2014,175,
40183-1,Bricktober Town Hall,Promotional - Toys R Us,2014,186,
40190-1,Ferrari F138,Promotional - Shell,2014,41,
40191-1,Ferrari F12 Berlinetta,Promotional - Shell,2014,46,
40192-1,Ferrari 250 GTO,Promotional - Shell,2014,48,
40193-1,Ferrari 512 S,Promotional - Shell,2014,51,
40194-1,Finish Line & Podium,Promotional - Shell,2014,64,1
40195-1,Shell Station,Promotional - Shell,2014,95,1
40196-1,Shell Tanker,Promotional - Shell,2014,95,
41026-1,Sunshine Harvest,Friends,2014,233,1
41027-1,Mia's Lemonade Stand,Friends,2014,112,1
41028-1,Emma's Lifeguard Post,Friends - Summer,2014,78,1
41029-1,Stephanie's New Born Lamb,Friends,2014,78,1
41030-1,Olivia's Ice Cream Bike,Friends,2014,98,1
41031-1,Andrea's Mountain Hut,Friends,2014,119,1
41032-1,First Aid Jungle Bike,Friends - Jungle Rescue,2014,156,1
41033-1,Jungle Falls Rescue,Friends - Jungle Rescue,2014,183,1
41034-1,Summer Caravan,Friends - Summer,2014,297,2
41035-1,Heartlake Juice Bar,Friends,2014,277,2
41036-1,Jungle Bridge Rescue,Friends - Jungle Rescue,2014,365,2
41037-1,Stephanie's Beach House,Friends - Summer,2014,369,2
41038-1,Jungle Rescue Base,Friends - Jungle Rescue,2014,472,2
41039-1,Sunshine Ranch,Friends,2014,721,2
41040-1,Friends Advent Calendar,Friends - Seasonal,2014,228,2
41041-1,Turtle's Little Paradise,Friends - Animals series 4,2014,43,
41042-1,Tiger's Beautiful Temple,Friends - Animals series 4,2014,42,
41043-1,Penguin's Playground,Friends - Animals series 4,2014,46,
41044-1,Macaw's Fountain,Friends - Animals series 5,2014,39,
41045-1,Orangutan's Banana Tree,Friends - Animals series 5,2014,37,
41046-1,Brown Bear's River,Friends - Animals series 5,2014,37,
41047-1,Seal's Little Rock,Friends - Animals series 6,2014,37,
41048-1,Lion Cub's Savanna,Friends - Animals series 6,2014,43,
41049-1,Panda's Bamboo,Friends - Animals series 6,2014,47,
41050-1,Ariel's Amazing Treasures,Disney - The Little Mermaid,2014,77,1
41051-1,Merida's Highland Games,Disney - Miscellaneous,2014,145,1
41052-1,Ariel's Magical Kiss,Disney - The Little Mermaid,2014,250,2
41053-1,Cinderella's Dream Carriage,Disney - Cinderella,2014,274,1
41054-1,Rapunzel's Creativity Tower,Disney - Tangled,2014,299,2
41055-1,Cinderella's Romantic Castle,Disney - Cinderella,2014,646,2
41056-1,Heartlake News Van,Friends,2014,278,2
41057-1,Heartlake Horse Show,Friends,2014,355,2
41058-1,Heartlake Shopping Mall,Friends,2014,1120,4
41059-1,Jungle Tree Sanctuary,Friends - Jungle Rescue,2014,320,1
41500-1,Flain,Mixels - Series 1,2014,58,
41501-1,Vulk,Mixels - Series 1,2014,69,
41502-1,Zorch,Mixels - Series 1,2014,45,
41503-1,Krader,Mixels - Series 1,2014,66,
41504-1,Seismo,Mixels - Series 1,2014,50,
41505-1,Shuff,Mixels - Series 1,2014,51,
41506-1,Teslo,Mixels - Series 1,2014,54,
41507-1,Zaptor,Mixels - Series 1,2014,61,
41508-1,Volectro,Mixels - Series 1,2014,70,
